check_id,metric,authoritative_source,expected_value,thesis_output,absolute_difference,tolerance,status
weak_oracle_4_wilson95_lower,wilson95_lower,results/validation/r500_phase2/coverage_uncertainty.csv,0.8884001169,0.8884001169,0,1e-12,passed
weak_oracle_4_wilson95_upper,wilson95_upper,results/validation/r500_phase2/coverage_uncertainty.csv,0.9372562005,0.9372562005,0,1e-12,passed
weak_oracle_5_conditional_coverage,conditional_coverage,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,0.916,0.916,0,1e-12,passed
weak_oracle_5_coverage_denominator,coverage_denominator,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,500,500,0,1e-12,passed
weak_oracle_5_coverage_gap,coverage_gap,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,-0.034,-0.034,0,1e-12,passed
weak_oracle_5_rmse,rmse,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,0.2589258752,0.2589258752,0,1e-12,passed
weak_oracle_5_mean_cr_length,mean_cr_length,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,0.944955397,0.944955397,0,1e-12,passed
weak_oracle_5_wilson95_lower,wilson95_lower,results/validation/r500_phase2/coverage_uncertainty.csv,0.8884001169,0.8884001169,0,1e-12,passed
weak_oracle_5_wilson95_upper,wilson95_upper,results/validation/r500_phase2/coverage_uncertainty.csv,0.9372562005,0.9372562005,0,1e-12,passed
weak_post_selection_1_conditional_coverage,conditional_coverage,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,0.838,0.838,0,1e-12,passed
weak_post_selection_1_coverage_denominator,coverage_denominator,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,500,500,0,1e-12,passed
weak_post_selection_1_coverage_gap,coverage_gap,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,-0.112,-0.112,0,1e-12,passed
weak_post_selection_1_rmse,rmse,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,0.5162788087,0.5162788087,0,1e-12,passed
weak_post_selection_1_mean_cr_length,mean_cr_length,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,1.478002684,1.478002684,0,1e-12,passed
weak_post_selection_1_wilson95_lower,wilson95_lower,results/validation/r500_phase2/coverage_uncertainty.csv,0.8031470479,0.8031470479,0,1e-12,passed
weak_post_selection_1_wilson95_upper,wilson95_upper,results/validation/r500_phase2/coverage_uncertainty.csv,0.8676987099,0.8676987099,0,1e-12,passed
weak_post_selection_2_conditional_coverage,conditional_coverage,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,0.838,0.838,0,1e-12,passed
weak_post_selection_2_coverage_denominator,coverage_denominator,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,500,500,0,1e-12,passed
weak_post_selection_2_coverage_gap,coverage_gap,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,-0.112,-0.112,0,1e-12,passed
weak_post_selection_2_rmse,rmse,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,0.3909197153,0.3909197153,0,1e-12,passed
weak_post_selection_2_mean_cr_length,mean_cr_length,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,1.170952482,1.170952482,0,1e-12,passed
weak_post_selection_2_wilson95_lower,wilson95_lower,results/validation/r500_phase2/coverage_uncertainty.csv,0.8031470479,0.8031470479,0,1e-12,passed
weak_post_selection_2_wilson95_upper,wilson95_upper,results/validation/r500_phase2/coverage_uncertainty.csv,0.8676987099,0.8676987099,0,1e-12,passed
weak_post_selection_3_conditional_coverage,conditional_coverage,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,0.858,0.858,0,1e-12,passed
weak_post_selection_3_coverage_denominator,coverage_denominator,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,500,500,0,1e-12,passed
weak_post_selection_3_coverage_gap,coverage_gap,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,-0.092,-0.092,0,1e-12,passed
weak_post_selection_3_rmse,rmse,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,0.4518363236,0.4518363236,0,1e-12,passed
weak_post_selection_3_mean_cr_length,mean_cr_length,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,1.452079181,1.452079181,0,1e-12,passed
