estimator_label,dgp,n,p,pi,tau,replications,resolved_replications,unresolved_replications,convergence_rate,bias,median_bias,mae,rmse,estimate_sd,empirical_coverage,coverage_mcse,coverage_mc95_lower,coverage_mc95_upper,mean_cr_length,median_cr_length,full_grid_rate,empty_region_rate,disconnected_region_rate,unresolved_rate,boundary_estimate_rate,iteration_warning_rate,rank_failure_rate,refinement_limit_rate,numerical_limit_rate,mean_selected_controls,median_selected_controls,min_selected_controls,max_selected_controls,mean_retained_instruments
DML-IVQR,dgp2,500,200,0.25,0.25,500,498,2,1,0.3628897502,0.2744897502,1.012224483,1.238561428,1.185392657,0.9477911647,0.009968129218,0.9282536314,0.9673286979,3.66377909,4,0.602,,,0.004,0.124,,,,,,,,,
DML-IVQR,dgp2,500,200,0.25,0.5,500,500,0,1,-0.0456,-0.1,0.9984,1.17439346,1.174683107,0.946,0.01010781876,0.9261886752,0.9658113248,3.61298831,4,0.524,,,0,0.104,,,,,,,,,
DML-IVQR,dgp2,500,200,0.25,0.75,500,500,0,1,-0.2652897502,-0.0744897502,0.993591836,1.213315298,1.185143236,0.95,0.009746794345,0.9308962831,0.9691037169,3.664443868,4,0.664,,,0,0.114,,,,,,,,,
DML-IVQR,dgp2,500,200,0.5,0.25,500,500,0,1,0.0884897502,0.0744897502,0.806093877,0.9768697129,0.97382785,0.958,0.008970618708,0.9404175873,0.9755824127,3.232863595,3.398061396,0.274,,,0,0.09,,,,,,,,,
DML-IVQR,dgp2,500,200,0.5,0.5,500,500,0,1,-0.0492,0,0.7444,0.921173165,0.9207795773,0.934,0.01110351296,0.9122371146,0.9557628854,3.058712474,3.107404108,0.118,,,0,0.04,,,,,,,,,
DML-IVQR,dgp2,500,200,0.5,0.75,500,500,0,1,-0.1928897502,-0.0744897502,0.815073467,1.032040646,1.014870121,0.932,0.01125841907,0.9099334986,0.9540665014,3.230249235,3.408493854,0.32,,,0,0.094,,,,,,,,,
DML-IVQR,dgp2,500,200,1,0.25,500,500,0,1,-0.0659102498,-0.1255102498,0.571914287,0.702731813,0.7003347611,0.938,0.01078480412,0.9168617839,0.9591382161,2.468470006,2.44369905,0.026,,,0,0.07,,,,,,,,,
DML-IVQR,dgp2,500,200,1,0.5,500,500,0,1,0.0216,0,0.4352,0.545967032,0.5460859454,0.936,0.01094568408,0.9145464592,0.9574535408,2.160294493,2.126797569,0,,,0,0,,,,,,,,,
DML-IVQR,dgp2,500,200,1,0.75,500,500,0,1,-0.0508897502,-0.0744897502,0.504461221,0.6339974816,0.6325846716,0.932,0.01125841907,0.9099334986,0.9540665014,2.316191134,2.215851054,0.018,,,0,0.02,,,,,,,,,
DML-IVQR,dgp2,500,500,0.1,0.25,500,498,2,1,0.6516897502,0.6744897502,1.208142843,1.433073512,1.277601146,0.9618473896,0.008584214143,0.9450223298,0.9786724493,3.798505993,4,0.764,,,0.004,0.138,,,,,,,,,
