dgp,n,p,pi,tau,replication,seed,alpha_true,iteration_warning_policy,direct_true_alpha_accepted,direct_true_alpha_rejected,direct_true_alpha_available,grid_variant,alpha_hat,bias,squared_error,covered,cr_lower,cr_upper,cr_length,cr_components,full_grid_accepted,empty_cr,number_of_connected_components,number_of_alpha_evaluations,failed_alpha_evaluations,fully_converged_evaluations,iteration_limit_warning_evaluations,usable_warning_evaluations,unusable_warning_evaluations,runtime_seconds,converged,usable,warning_type,iteration_limit_warning,finite_statistic_available,statistic_used_for_inference,failure_reason,interpolated_true_alpha_accepted,direct_vs_interpolated_mismatch,interpolation_vs_region_mismatch,coverage_loss_vs_direct,interpolation_loss_vs_direct,reconstruction_loss,alpha_true_exact_grid_point,exact_grid_point_consistency_mismatch
dgp1,100,20,1.0,0.5,16,8142193543133063343,1.0,reject,True,False,True,adaptive_21_to_0.025,0.0,-1.0,1.0,True,-1.0,2.8672839831046777,3.6422839831048552,"[[-1.0,1.0750000000000954],[1.2999999999999174,2.8672839831046777]]",False,False,2,30,4,26,4,0,4,0.6185852005146444,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=4/30,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,17,4575949103342800831,1.0,reject,False,True,True,grid_21,-0.3999999999999999,-1.4,1.9599999999999997,False,-1.0,0.8725664332594205,1.8725664332594205,"[[-1.0,0.8725664332594205]]",False,False,1,21,1,20,1,0,1,0.21806920133531094,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/21,False,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,17,4575949103342800831,1.0,reject,False,True,True,grid_41,-0.3999999999999999,-1.4,1.9599999999999997,False,-1.0,0.910346271451542,1.910346271451542,"[[-1.0,0.910346271451542]]",False,False,1,41,1,40,1,0,1,0.3687290013767779,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/41,False,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,17,4575949103342800831,1.0,reject,False,True,True,grid_81,-0.3999999999999999,-1.4,1.9599999999999997,False,-1.0,0.9101435265653197,1.9101435265653197,"[[-1.0,0.9101435265653197]]",False,False,1,81,1,80,1,0,1,0.6505351015366614,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/81,False,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,17,4575949103342800831,1.0,reject,False,True,True,adaptive_21_to_0.025,-0.3999999999999999,-1.4,1.9599999999999997,False,-1.0,0.9073121452406594,1.9073121452406594,"[[-1.0,0.9073121452406594]]",False,False,1,24,1,23,1,0,1,0.23190140165388584,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/24,False,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,18,5098489351220170713,1.0,reject,True,False,True,grid_21,0.8,-0.19999999999999996,0.03999999999999998,True,-4.550249066426204e-13,2.2041832186699724,2.2041832186704275,"[[-4.550249066426204e-13,2.2041832186699724]]",False,False,1,21,1,20,1,0,1,0.24422490037977695,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/21,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,18,5098489351220170713,1.0,reject,True,False,True,grid_41,0.8,-0.19999999999999996,0.03999999999999998,True,-0.10000000000015122,2.2031234059081033,2.1031234059087693,"[[-0.10000000000015122,2.2750852548797044e-13],[0.1999999999997128,2.2031234059081033]]",False,False,2,41,2,39,2,0,2,0.5012648021802306,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=2/41,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,18,5098489351220170713,1.0,reject,True,False,True,grid_81,0.8500000000000001,-0.1499999999999999,0.022499999999999975,True,-0.28205368600812586,2.2018317235192946,2.283885409527755,"[[-0.28205368600812586,-0.24999999999997324],[-0.15000000000005786,0.05000000000011478],[0.14999999999986496,2.2018317235192946]]",False,False,3,81,2,79,2,0,2,0.8512183013372123,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=2/81,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,18,5098489351220170713,1.0,reject,True,False,True,adaptive_21_to_0.025,0.8,-0.19999999999999996,0.03999999999999998,True,-0.1750000000000243,2.2016236962056013,2.3766236962056255,"[[-0.1750000000000243,2.2016236962056013]]",False,False,1,27,1,26,1,0,1,0.2917643999680877,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/27,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,19,7583163039971472874,1.0,reject,True,False,True,grid_21,0.20000000000000018,-0.7999999999999998,0.6399999999999997,True,-1.0,2.083205032981089,3.083205032981089,"[[-1.0,2.083205032981089]]",False,False,1,21,1,20,1,0,1,0.26819790061563253,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/21,True,False,False,False,False,False,True,False
