dgp,n,p,pi,tau,estimator,replications,valid_estimates,bias,median_bias,rmse,mae,coverage,coverage_valid_only,avg_cr_length,avg_cr_length_valid_only,failure_rate,non_convergence_rate,cr_empty_rate,cr_disconnected_rate,boundary_rate,mean_failed_alpha_count,mean_selected_controls,mean_runtime_seconds,expected_replications,observed_replications,completion_rate
dgp1,500,500,0.5,0.75,post_selection_ivqr,10,10,-0.22448975019608158,-0.1744897501960816,0.4158072244960387,0.354693850117649,0.4,0.4,0.7,0.7,0.0,0.0,0.0,0.2,,0.0,26.0,11.766185739991489,,10,
dgp1,500,500,1.0,0.25,dml_ivqr,10,10,0.4244897501960817,0.4244897501960817,0.49263733924818554,0.4244897501960817,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,,0.0,,31.062745729996823,,10,
dgp1,500,500,1.0,0.25,oracle,10,10,0.5244897501960817,0.6744897501960817,0.6144831145448573,0.5895918001568654,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,10.0,0.26492642000084743,,10,
dgp1,500,500,1.0,0.25,post_selection_ivqr,10,10,0.17448975019608168,0.1744897501960817,0.1744897501960817,0.17448975019608168,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,,0.0,23.3,9.930625350004993,,10,
dgp1,500,500,1.0,0.5,dml_ivqr,10,10,0.15,0.0,0.3535533905932738,0.25,0.8,0.8,0.3,0.3,0.0,0.0,0.0,0.0,,0.0,,40.723763590015004,,10,
dgp1,500,500,1.0,0.5,oracle,10,10,0.0,0.0,0.22360679774997896,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,10.0,0.5643116799998097,,10,
dgp1,500,500,1.0,0.5,post_selection_ivqr,10,10,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.2,0.0,,0.0,25.6,14.044492759980495,,10,
dgp1,500,500,1.0,0.75,dml_ivqr,10,10,-0.4244897501960816,-0.4244897501960816,0.4926373392481855,0.4244897501960816,0.1,0.1,0.55,0.55,0.0,0.0,0.0,0.0,,0.0,,46.151894660003016,,10,
dgp1,500,500,1.0,0.75,oracle,10,10,-0.1744897501960816,-0.1744897501960816,0.1744897501960816,0.1744897501960816,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,10.0,0.6575865200022235,,10,
dgp1,500,500,1.0,0.75,post_selection_ivqr,10,10,-0.07448975019608159,-0.1744897501960816,0.213421467721208,0.20469385011764896,0.1,0.1,0.05,0.05,0.0,0.0,0.3,0.0,,0.0,18.8,14.403882300003897,,10,
dgp1,1000,200,0.1,0.25,dml_ivqr,10,10,0.1744897501960816,-0.3255102498039183,1.2167360736509338,0.9651020499607835,0.8,0.8,2.85,2.85,0.0,0.0,0.0,0.4,,0.0,,21.03049705000594,,10,
dgp1,1000,200,0.1,0.25,oracle,10,10,1.3244897501960815,1.6744897501960816,1.6603533052861004,1.5895918001568654,0.0,0.0,1.75,1.75,0.0,0.0,0.0,0.5,,0.0,10.0,0.44440790999797175,,10,
dgp1,1000,200,0.1,0.25,post_selection_ivqr,10,10,1.7244897501960814,2.1744897501960816,1.9095457309348063,1.7244897501960814,0.3,0.3,1.8,1.8,0.0,0.0,0.0,0.5,,0.0,19.5,7.542876610002713,,10,
dgp1,1000,200,0.1,0.5,dml_ivqr,10,10,0.1,0.0,1.0,0.8,1.0,1.0,3.1,3.1,0.0,0.0,0.0,0.4,,0.0,,25.405798219988355,,10,
dgp1,1000,200,0.1,0.5,oracle,10,10,-0.35,-0.5,1.1510864433221337,1.05,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.6,,0.0,10.0,0.5029988599941134,,10,
