dgp,n,p,pi,tau,estimator,replications,valid_estimates,bias,median_bias,rmse,mae,coverage,coverage_valid_only,avg_cr_length,avg_cr_length_valid_only,failure_rate,non_convergence_rate,cr_empty_rate,cr_disconnected_rate,boundary_rate,mean_failed_alpha_count,mean_selected_controls,mean_runtime_seconds,expected_replications,observed_replications,completion_rate
dgp1,500,500,0.5,0.25,post_selection_ivqr,10,10,0.2244897501960817,0.1744897501960817,0.3505647557058455,0.28959180015686536,0.5,0.5,0.8369190895508444,0.8369190895508444,0.0,0.0,0.0,0.0,,0.0,18.9,11.689443049993134,,10,
dgp1,500,500,0.5,0.5,dml_ivqr,10,10,0.25,0.25,0.3535533905932738,0.25,0.8,0.8,0.9320168086729159,0.9320168086729159,0.0,0.0,0.0,0.0,,0.0,,43.87446753000258,,10,
dgp1,500,500,0.5,0.5,oracle,10,10,0.05,0.0,0.6123724356957945,0.45,0.4,0.4,0.774362035187657,0.774362035187657,0.0,0.0,0.0,0.1,,0.0,10.0,0.8600175499974284,,10,
dgp1,500,500,0.5,0.5,post_selection_ivqr,10,10,0.15,0.0,0.3535533905932738,0.25,0.8,0.8,0.6834608844200096,0.6834608844200096,0.0,0.0,0.0,0.0,,0.0,26.7,11.069378750002944,,10,
dgp1,500,500,0.5,0.75,dml_ivqr,10,10,-0.4744897501960816,-0.1744897501960816,1.0174185584316515,0.704693850117649,0.7,0.7,1.7305356342875968,1.7305356342875968,0.0,0.0,0.0,0.1,,0.0,,36.14540034001111,,10,
dgp1,500,500,0.5,0.75,oracle,10,10,-0.1744897501960816,-0.1744897501960816,0.1744897501960816,0.1744897501960816,0.1,0.1,0.7798048738965717,0.7798048738965717,0.0,0.0,0.0,0.1,,0.0,10.0,0.63296510000946,,10,
dgp1,500,500,0.5,0.75,post_selection_ivqr,10,10,-0.22448975019608158,-0.1744897501960816,0.4158072244960387,0.354693850117649,0.8,0.8,1.8006495269943539,1.8006495269943539,0.0,0.0,0.0,0.1,,0.0,26.0,10.55642659998848,,10,
dgp1,500,500,1.0,0.25,dml_ivqr,10,10,0.4244897501960817,0.4244897501960817,0.49263733924818554,0.4244897501960817,0.1,0.1,0.5999099002677705,0.5999099002677705,0.0,0.0,0.0,0.0,,0.0,,35.00847487999126,,10,
dgp1,500,500,1.0,0.25,oracle,10,10,0.5244897501960817,0.6744897501960817,0.6144831145448573,0.5895918001568654,0.0,0.0,0.3790919849298926,0.3790919849298926,0.0,0.0,0.0,0.1,,0.0,10.0,0.48230180999962613,,10,
dgp1,500,500,1.0,0.25,post_selection_ivqr,10,10,0.17448975019608168,0.1744897501960817,0.1744897501960817,0.17448975019608168,0.3,0.3,0.2589211536869648,0.2589211536869648,0.0,0.0,0.0,0.0,,0.0,23.3,11.514142950001405,,10,
dgp1,500,500,1.0,0.5,dml_ivqr,10,10,0.15,0.0,0.3535533905932738,0.25,0.8,0.8,0.6156451957411748,0.6156451957411748,0.0,0.0,0.0,0.0,,0.0,,44.70368113999721,,10,
