aggregation,dgp,n,p,pi,tau,grid_variant,replications_requested,replications_successful,failures,direct_true_alpha_available_rate,direct_true_alpha_acceptance,direct_true_alpha_rejection_rate,coverage,bias,rmse,mean_cr_length,median_cr_length,full_grid_acceptance_rate,empty_cr_rate,mean_number_of_connected_components,multiple_components_rate,mean_alpha_evaluations,mean_runtime_seconds,direct_vs_interpolated_mismatch_rate,interpolation_vs_region_mismatch_rate,coverage_loss_vs_direct_rate,interpolation_loss_vs_direct_rate,reconstruction_loss_rate,exact_grid_point_cases,exact_grid_point_consistency_mismatches,total_failed_alpha_evaluations
design_cell,dgp2,500.0,200.0,0.1,0.25,grid_41,500,500,0,0.948,0.9451476793248945,0.05485232067510549,0.88,0.5194897501960818,1.3779058750723097,3.3505917607148343,3.60000000000095,0.088,0.002,2.816,0.87,41.0,1.5337684833100065,0.05063291139240506,0.0,0.05063291139240506,0.05063291139240506,0.0,0,0,928
design_cell,dgp2,500.0,200.0,0.1,0.25,grid_81,500,500,0,0.948,0.9451476793248945,0.05485232067510549,0.876,0.5440897501960817,1.395109134178554,3.3551374181037086,3.5500000000014507,0.024,0.002,4.356,0.962,81.0,3.047874426912516,0.05907172995780591,0.0,0.05907172995780591,0.05907172995780591,0.0,0,0,1856
design_cell,dgp2,500.0,200.0,0.1,0.25,adaptive_21_to_0.025,500,500,0,0.948,0.9451476793248945,0.05485232067510549,0.928,0.5034397501960817,1.374226957084416,3.591948869552688,3.8750000000003197,0.246,0.002,1.96,0.656,27.678,1.0946593506084754,0.014767932489451477,0.0,0.012658227848101266,0.012658227848101266,0.0,0,0,818
design_cell,dgp2,500.0,200.0,0.1,0.5,grid_21,500,500,0,0.956,0.9560669456066946,0.043933054393305436,0.914,0.0528000000000001,1.2502799686470227,3.4515746000419893,3.6000000000012333,0.262,0.0,1.928,0.636,21.0,0.77006102575548,0.0,0.0,0.0,0.0,0.0,500,0,475
design_cell,dgp2,500.0,200.0,0.1,0.5,grid_41,500,500,0,0.956,0.9560669456066946,0.043933054393305436,0.914,0.051200000000000086,1.2353461053486183,3.4414999254071725,3.6000000000012133,0.092,0.0,2.85,0.872,41.0,1.4977216139426455,0.0,0.0,0.0,0.0,0.0,500,0,937
design_cell,dgp2,500.0,200.0,0.1,0.5,grid_81,500,500,0,0.956,0.9560669456066946,0.043933054393305436,0.914,0.00840000000000012,1.2298333220400235,3.4491064093198056,3.600000000001251,0.022,0.0,4.39,0.97,81.0,3.242661008958705,0.0,0.0,0.0,0.0,0.0,500,0,1846
design_cell,dgp2,500.0,200.0,0.1,0.5,adaptive_21_to_0.025,500,500,0,0.956,0.9560669456066946,0.043933054393305436,0.914,0.0531500000000001,1.2463571919798915,3.702017239788672,3.912500000000213,0.262,0.0,1.928,0.636,27.33,1.057649975146167,0.0,0.0,0.0,0.0,0.0,500,0,762
design_cell,dgp2,500.0,200.0,0.1,0.75,grid_21,500,500,0,0.96,0.9354166666666667,0.06458333333333334,0.852,-0.26448975019608145,1.3136265938076868,3.248042402130423,3.600000000000573,0.238,0.0,2.052,0.656,21.0,0.9144955472070724,0.0875,0.0,0.08333333333333333,0.08333333333333333,0.0,0,0,558
design_cell,dgp2,500.0,200.0,0.1,0.75,grid_41,500,500,0,0.96,0.9354166666666667,0.06458333333333334,0.856,-0.29608975019608147,1.3117326633774042,3.2628184548259136,3.4927900439213153,0.098,0.0,2.936,0.864,41.0,1.7769444089932367,0.07916666666666666,0.0,0.075,0.075,0.0,0,0,1072
design_cell,dgp2,500.0,200.0,0.1,0.75,grid_81,500,500,0,0.96,0.9354166666666667,0.06458333333333334,0.874,-0.24598975019608146,1.2726443757788468,3.2785226066872264,3.531186880639734,0.028,0.0,4.426,0.956,81.0,3.5057180037964137,0.058333333333333334,0.0,0.05416666666666667,0.05416666666666667,0.0,0,0,2101
design_cell,dgp2,500.0,200.0,0.1,0.75,adaptive_21_to_0.025,500,500,0,0.96,0.9354166666666667,0.06458333333333334,0.93,-0.29313975019608146,1.3211119712745856,3.514567692635626,3.8500000000001755,0.238,0.0,2.052,0.656,28.284,1.3303590806405992,0.010416666666666666,0.0,0.00625,0.00625,0.0,0,0,1015
design_cell,dgp2,500.0,200.0,1.0,0.25,grid_21,500,500,0,0.962,0.918918918918919,0.08108108108108109,0.818,-0.0031102498039182135,0.4243440981725123,1.3479698429253877,1.3514122725986382,0.0,0.0,1.236,0.212,21.0,0.8730358003806323,0.10602910602910603,0.0,0.10187110187110188,0.10187110187110188,0.0,0,0,492
design_cell,dgp2,500.0,200.0,1.0,0.25,grid_41,500,500,0,0.962,0.918918918918919,0.08108108108108109,0.826,-0.004910249803918222,0.4214495824569493,1.3602004161609174,1.3298093387037524,0.0,0.0,1.558,0.442,41.0,1.6906020927242935,0.09355509355509356,0.0,0.0893970893970894,0.0893970893970894,0.0,0,0,923
design_cell,dgp2,500.0,200.0,1.0,0.25,grid_81,500,500,0,0.962,0.918918918918919,0.08108108108108109,0.842,-0.004610249803918226,0.41998743362540564,1.3665789068870813,1.3362207089837042,0.0,0.0,2.156,0.674,81.0,3.3682696157125758,0.060291060291060294,0.0,0.058212058212058215,0.058212058212058215,0.0,0,0,1853
design_cell,dgp2,500.0,200.0,1.0,0.25,adaptive_21_to_0.025,500,500,0,0.962,0.918918918918919,0.08108108108108109,0.894,-0.006410249803918213,0.421561124040807,1.4466482526579876,1.425589302992857,0.0,0.0,1.236,0.212,27.996,1.1823283883659168,0.018711018711018712,0.0,0.018711018711018712,0.018711018711018712,0.0,0,0,713
design_cell,dgp2,500.0,200.0,1.0,0.5,grid_21,500,500,0,0.958,0.9290187891440501,0.0709812108559499,0.89,0.03400000000000013,0.371052556924218,1.2405860390560575,1.2439387010464018,0.0,0.0,1.212,0.194,21.0,0.8723504594378173,0.0,0.0,0.0,0.0,0.0,500,0,466
design_cell,dgp2,500.0,200.0,1.0,0.5,grid_41,500,500,0,0.958,0.9290187891440501,0.0709812108559499,0.89,0.03360000000000013,0.37517995682072364,1.2485612664952372,1.2402406254220688,0.0,0.0,1.512,0.408,41.0,1.6857531271968036,0.0,0.0,0.0,0.0,0.0,500,0,906
design_cell,dgp2,500.0,200.0,1.0,0.5,grid_81,500,500,0,0.958,0.9290187891440501,0.0709812108559499,0.89,0.036300000000000124,0.37453304260105014,1.2518737928572832,1.2261473862833658,0.0,0.0,2.08,0.684,81.0,3.321935928077437,0.0,0.0,0.0,0.0,0.0,500,0,1760
design_cell,dgp2,500.0,200.0,1.0,0.5,adaptive_21_to_0.025,500,500,0,0.958,0.9290187891440501,0.0709812108559499,0.89,0.03565000000000012,0.3724832210986155,1.3262399329318801,1.3108556217389165,0.0,0.0,1.212,0.194,28.254,1.4391480959691108,0.0,0.0,0.0,0.0,0.0,500,0,680
design_cell,dgp2,500.0,200.0,1.0,0.75,grid_21,500,500,0,0.95,0.9178947368421052,0.08210526315789474,0.826,-0.001689750196081423,0.39957854704141105,1.2792296291899101,1.2690358204506174,0.0,0.0,1.268,0.244,21.0,0.7919046289948747,0.11578947368421053,0.0,0.10526315789473684,0.10526315789473684,0.0,0,0,502
design_cell,dgp2,500.0,200.0,1.0,0.75,grid_41,500,500,0,0.95,0.9178947368421052,0.08210526315789474,0.826,0.0019102498039185792,0.3907514415255731,1.2915326789338049,1.2646461389555506,0.0,0.0,1.6,0.456,41.0,1.5658198397513479,0.0968421052631579,0.0,0.09052631578947369,0.09052631578947369,0.0,0,0,1018
