dgp,n,p,pi,tau,estimator,replications,valid_estimates,bias,median_bias,rmse,mae,coverage,coverage_valid_only,avg_cr_length,avg_cr_length_valid_only,avg_cr_hull_length,failure_rate,non_convergence_rate,cr_empty_rate,cr_disconnected_rate,boundary_rate,alpha_hat_boundary_rate,cr_boundary_hit_rate,mean_failed_alpha_count,mean_failed_alpha_rate,mean_selected_controls,critical_value_multiplier,mean_critical_value_adjusted,mean_runtime_seconds,mean_runtime_total_sec,median_runtime_total_sec,mean_runtime_alpha_grid_sec,mean_runtime_confidence_region_sec,mean_dml_runtime_crossfit_sec,mean_ps_runtime_selection_sec,expected_replications,observed_replications,completion_rate
dgp1,1000,500,0.5,0.5,dml_ivqr,10,10,1.6653345369377348e-16,0.20000000000000018,0.593295878967653,0.4400000000000001,1.0,1.0,2.2354541796101866,2.2354541796101866,2.3645443392037633,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,,1.0,3.841458820694124,210.49861306000383,210.49861306000383,210.81930025000474,210.41236889000865,0.0004978000011760201,0.08505347999162036,,10,10,1.0
dgp1,1000,500,0.5,0.75,dml_ivqr,10,10,-0.6344897501960814,-0.37448975019608155,1.3209758677219983,0.9897959000784325,0.9,0.9,2.8179680154190474,2.8179680154190474,3.006641915834046,0.0,0.0,0.0,0.6,0.1,0.1,0.6,0.0,0.0,,1.0,3.841458820694124,154.80917977000354,154.80917977000354,155.43114910001168,154.73028372998814,0.00044243999291206993,0.07776883000042285,,10,10,1.0
dgp1,1000,500,1.0,0.25,dml_ivqr,10,10,0.13448975019608175,0.1744897501960818,0.5748804161804475,0.44979590007843273,0.8,0.8,1.5227739304778116,1.5227739304778116,1.5364932192042762,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,,1.0,3.841458820694124,181.6964135599963,181.6964135599963,182.54067724998458,181.6049688299885,0.00053664999431925,0.08991866000578735,,10,10,1.0
dgp1,1000,500,1.0,0.5,dml_ivqr,10,10,-0.07999999999999989,0.0,0.4732863826479693,0.36000000000000004,0.8,0.8,1.3387319771285986,1.3387319771285986,1.3387319771285986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,3.841458820694124,217.68261747999932,217.68261747999932,217.49631844999385,217.5911042599997,0.00049887999775814,0.09036147001315835,,10,10,1.0
dgp1,1000,500,1.0,0.75,dml_ivqr,10,10,-0.19448975019608145,-0.17448975019608137,0.4893120302336069,0.40469385011764886,0.7,0.7,1.6027385749999836,1.6027385749999836,1.615468657754894,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,,1.0,3.841458820694124,150.54138474999928,150.54138474999928,150.70249129997683,150.45577050999856,0.00049195000319737,0.08443404000718142,,10,10,1.0
dgp2,500,200,0.1,0.25,dml_ivqr,10,10,0.2744897501960818,-0.02551024980391825,1.0748695841648455,0.9199999999999999,0.9,0.9,3.5422408874776705,3.5422408874776705,3.628058188187714,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,,1.0,3.841458820694124,16.7530355400173,16.7530355400173,16.777894750004634,16.733690319996093,0.0005812700139358098,0.01854467000812288,,10,10,1.0
dgp2,500,200,0.1,0.5,dml_ivqr,10,10,0.9200000000000003,1.6,1.3594116374373144,1.2000000000000004,0.8,0.8,3.2695481781940585,3.2695481781940585,3.7782596443896965,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.0,0.0,,1.0,3.841458820694124,19.215582249994622,19.215582249994622,19.242554550000932,19.19371056998498,0.00061771998298349,0.020972800004528776,,10,10,1.0
dgp2,500,200,0.1,0.75,dml_ivqr,10,10,-0.3344897501960815,-0.37448975019608133,1.1525117756388596,0.9697959000784324,0.9,0.9,3.7280559013356678,3.7280559013356678,3.9477677312039186,0.0,0.0,0.0,0.1,0.1,0.1,1.0,0.0,0.0,,1.0,3.841458820694124,16.826133959996515,16.826133959996515,16.831670049985405,16.80641748000635,0.0006515800079796099,0.018829159997403568,,10,10,1.0
dgp2,500,200,0.25,0.25,dml_ivqr,10,10,-0.08551024980391832,-0.7255102498039182,1.2797312228829645,1.0502040999215674,0.9,0.9,2.7669312662929917,2.7669312662929917,3.261728728368651,0.0,0.0,0.0,0.5,0.3,0.3,1.0,0.0,0.0,,1.0,3.841458820694124,16.752182439988246,16.752182439988246,16.824018299987074,16.732702209998386,0.0005984499934129,0.018685639998875504,,10,10,1.0
dgp2,500,200,0.25,0.5,dml_ivqr,10,10,0.5200000000000001,0.40000000000000013,1.1832159566199232,0.9600000000000002,0.8,0.8,3.4375403443490966,3.4375403443490966,3.6922165342791615,0.0,0.0,0.0,0.4,0.1,0.1,1.0,0.0,0.0,,1.0,3.841458820694124,19.292504499986535,19.292504499986535,19.313412099989364,19.27064785999828,0.00067069999640802,0.02089456000248895,,10,10,1.0
